261.725,1194,365.213,200,200,200,915.407,200.073,200,200,210.877,200,553.547,202.973,200,200,755.713,207.719,200,200,628.611,218.911,677.072,200,200,265.115,203.379,200,200,743.569,205.815,200,207.719,220.258,299.497,200,200,200,200,615.858,818.166,269.637,200,877.072,654.524,200,200.023,685.493,200,455.895,55.9426,200,200,200,200,171.347,453.865,200,200,200,200,200,303.672,201.387,462.286,200.737,205.933,877.072,200,200.702,190.682,200,200,586.339,200,706.452,609.777,201.804,1085.53,200.702,133.156,183.112,200,211.303,200,200,200,200,200,200,200,200,200.266,200,306.233,200,200,289.233,200.054,200,200,204.603,202.973,234.65,200,200.405,206.316,200.096,223.857,200,204.301,202.973,580.361,200,270.212,200,226.04,228.338,922.157,200,200.702,309.273,834.596,200,214.726,200,200,216.23,270.212,200.862,211.735,290.396,206.163,245.626,55.9426,586.339,202.973,200,1212.63,204.846,344.755,227.394,184.523,200,200,677.072,204.459,600,200,200,200,200,200,200,200.389,200.075,200,200.702,200,200,200,223.857,152.845,200,200,456.66,208.464,200,200,176.136,120.708,202.973,702.129,226.04,200,200,200.633,601.981,202.973,200,200.019,200,191.496,200,200,201.404,885.084,363.827,177.836,200,247.203,200,200,207.241,204.434,200,204.226,200,208.07,200,
677.072,402.289,677.072,207.84,200,677.072,677.072,208.149,677.072,677.645,245.626,200,748.025,193.364,677.072,208.421,677.072,685.493,208.421,200,200,968.195,646.103,1526.27,202.973,646.103,677.072,277.957,295.999,677.072,679.049,677.072,677.072,282.461,769.778,677.072,606.715,248.536,1359.48,685.493,1644.16,200,955.486,206.476,209.859,955.486,252.621,463.403,677.072,677.072,200,210.649,677.072,200.223,200,280.315,200,270.212,923.149,202.973,216.224,200,685.493,220.345,677.072,677.072,1415.45,200,384.775,677.072,200,236.248,200,237.855,798.346,677.072,207.39,200,200,245.626,677.072,269.346,677.072,246.387,1613.25,502.129,200,677.072,200,724.872,200,200,677.073,549.367,571.787,216.842,200,932.414,200,200,677.072,1007.6,202.973,619.963,630.199,200,200,677.072,496.152,259.831,677.072,193.76,1197.01,331.882,305.491,677.072,677.072,417.909,677.072,207.719,190.549,211.394,200,200,245.626,200,848.419,575.384,335.639,677.072,333.156,200.025,646.103,1112.53,709.108,677.072,630.547,677.072,200.674,519.068,1173.29,242.394,677.774,672.868,386.12,239.118,340.456,200,200,182.197,220.682,207.719,623.133,212.334,200,677.072,200.52,201.68,907.694,950.214,226.04,649.615,225.869,328.96,208.421,225.015,200,200,677.072,393.758,575.385,470.785,200,200,748.484,233.896,260.205,719.068,200,311.931,211.735,677.072,198.027,770.666,287.005,677.435,615.133,200,200,624.445,350.296,51.0346,844.472,203.918,1019.58,748.146,207.973,233.072,700.642,677.072,
200,200.702,677.072,1180.75,677.072,679.622,200,200,677.072,208.421,677.072,685.493,202.973,182.264,276.887,268.383,677.072,677.072,1629.78,200.652,677.072,313.493,208.421,1453.25,685.493,303.889,208.077,677.072,781.413,376.319,200,200,235.333,677.072,677.072,200,955.486,678.476,202.973,677.072,512.709,200,646.103,677.072,677.072,677.072,677.072,200,200,953.87,200.099,1592.91,683.506,639.664,677.072,200,863.659,923.149,955.486,200,200,761.97,1850.24,200,589.575,730,923.149,677.072,1716.36,677.072,125.577,677.072,200,200,202.973,677.072,200,200,376.92,226.04,1641.33,791.091,722.423,615.858,245.626,243.943,1361.72,677.072,200,226.04,788.607,1543.48,677.072,677.072,769.778,599.651,831.698,783.821,848.041,677.072,211.228,200,200,444.629,87.2277,677.072,200,226.04,200,200,200.221,677.072,1569.81,677.072,184.394,677.072,811.492,677.072,200.304,200,642.562,200,677.072,1040.71,233.463,981.066,677.072,403.292,677.072,1266.1,166.775,200,200,677.072,200,197.588,215.496,337.43,200,200,200,208.273,677.072,200.674,1326.47,212.437,200.948,754.845,200,200,319.316,200,200.812,677.072,231.76,677.072,923.149,677.072,950.682,226.04,1245.01,200,200,677.072,948.229,200.561,200,731.938,277,653.953,672.842,1361.27,200,200,677.072,683.244,200,203.829,1388.38,677.072,677.072,736.369,208.772,213.481,677.072,267.377,1621.91,1005.77,677.072,196.871,200,191.228,699.41,890.886,1147.73,202.973,685.493,769.778,333.156,700.642,
919.263,256.392,1771.59,200,586.339,200,677.774,677.072,202.973,624.445,200,677.072,1531.51,677.072,200,1873.47,677.072,200,677.072,677.072,955.486,200,359.663,200,200,1276.66,586.339,261.532,1337.27,200,200.702,1090.13,208.421,677.072,677.072,615.858,200,677.072,888.324,677.072,815.858,78.2682,208.56,677.072,218.272,1107.68,681.422,677.072,1735.11,1038.09,677.074,1372.62,677.6,223.631,200,805.594,1817.16,254.684,795.705,200,191.801,1028.23,513.063,677.072,895.571,677.072,677.072,208.421,682.686,677.072,730.887,677.072,677.072,685,1513.45,200,1049.69,1697.83,843.467,200.702,1076.12,677.072,729.474,255.241,646.103,200,769.778,677.072,200,677.072,200,731.938,769.778,784.499,677.072,677.072,200,890.719,1227.79,804.893,202.973,1403.06,677.072,208.421,677.072,675.393,604.974,200,677.072,787.568,677.072,202.973,736.32,1195.68,677.072,677.072,200,200,900.366,1636.31,218.943,677.072,677.072,677.072,200,396.755,200,677.072,1308.13,208.421,200,728.045,677.774,259.1,200,200,200,200,868.56,677.072,677.072,200,246.654,1144.25,200.03,783.523,211.735,863.558,202.973,200.001,200,201.409,200.7,703.221,198.507,200,256.66,200,575.384,200.002,495.996,769.778,677.094,1285.94,1674.88,1566.3,677.072,725.224,734.604,1059.5,835.984,202.092,677.072,200,516.908,1208.09,200.363,473.826,200,684.792,745.318,211.228,1535.29,330.457,731.938,202.973,677.072,200,1560.2,677.073,1150.27,1318.62,200,59.2433,245.626,209.217,200.702,1351.23,207.018,200,
200,1873.47,200,200,615.858,677.072,200,200,955.486,1815.7,1358.29,202.973,1280.55,800.582,903.121,200,923.207,677.072,877.072,204.292,1529.54,677.072,677.518,677.072,1599.72,200,771.068,829.173,1362.85,759.853,682.339,677.072,200,677.072,199.076,270.212,554.89,1095.89,859.844,200,677.072,1438.65,677.072,796.312,947.976,677.072,1652.49,881.627,202.718,1292.07,757.544,1630.12,207.075,1123.69,810.177,200,224.769,456.66,677.072,178.062,702.129,677.072,677.316,200.351,964.162,1335.96,238.142,677.072,1366.68,1675.32,1818.97,212.031,192.326,1691.67,1819.49,677.072,677.072,1451.56,786.339,200,200,677.072,646.103,729.474,677.072,1195.68,677.072,677.072,1301.62,677.072,200,200,1483.6,738.346,200,1354.53,677.072,200,677.072,677.072,677.072,638.316,677.072,333.156,677.072,1009.07,677.072,1344.12,297.26,955.486,1070.11,990.197,877.072,677.072,202.973,677.072,234.316,239.755,677.072,799.924,200,200,202.973,1592.91,677.072,202.584,176.662,687.992,200,677.072,704.749,200,677.072,1545.26,207.806,197.682,200,200,890.318,890.114,396.913,677.072,259.199,200,200,258.375,200,621.338,200.044,837.677,324.892,333.892,200,945.208,867.21,1169.33,404.207,201.973,281.034,901.103,1149.78,312.889,641.543,868.56,1009.07,681.519,561.143,248.767,1031.49,1017.49,1014.7,704.969,1105.58,207.719,1064.59,1413.02,200,74.9504,200,200,1063.69,1307.64,810.409,252.608,247.437,1051.83,592.213,200,868.56,200,677.072,994.212,53.3619,1520.98,1437.77,1256.51,1711.06,914.917,456.04,939.671,
677.072,928.763,955.486,1691.67,200,677.072,677.072,200,200,1172.13,677.072,719.068,923.149,925.454,716.972,677.072,200,677.072,1221.12,1563.33,677.072,200,681.566,200,677.072,200,1432.83,1682.69,685.493,423.872,200,279.809,670.122,1221.13,677.072,1313.68,978.171,1736.73,220.129,677.072,955.486,200,677.072,1458.36,202.973,202.973,273.145,675.51,677.072,1064.22,972.389,1812.68,1520.78,201.954,1009.07,677.072,200,624.279,793.76,677.072,200,928.763,200,251.19,200,923.149,456.083,677.072,200,200.772,677.072,1417.67,1253.37,945.749,1588.28,729.474,1172.28,928.763,1647.3,191.983,1335.31,677.072,1047.98,1115.04,629.229,677.072,200,406.291,761.084,200,1318.27,200,469.5,1318.27,923.627,965.618,677.072,729.474,200,200.702,200,1009.07,377.473,677.072,1214.42,265.35,821.853,1011.66,677.542,380.256,200,917.622,1369.01,916.04,726.5,200,955.486,646.103,677.072,677.072,325.895,228.573,885.461,1010.41,802.144,677.072,677.072,677.072,677.072,200,1195.16,923.149,200,1592.91,1375.74,200,200,1025.08,475.141,677.072,208.263,200,200,677.072,1537.2,200,677.072,1483.81,200,1463.42,458.814,206.113,502.129,299.497,455,644.893,677.072,200,759.421,217.456,1639.67,817.838,1144.93,942.144,682.233,192.657,339.657,245.626,1251.25,1089.08,637.089,677.072,840.634,1362.4,728.272,1468.89,730.483,200,1019.98,809.772,201.243,1087.48,1007.56,1656.54,677.072,677.072,741.613,994.212,200.702,775.461,430.687,694.914,274.714,202.973,1009.07,489.513,200,916.031,335.561,1166.52,
1266.81,444.497,1436.17,729.474,1003.78,1627.92,211.735,200,959.819,633.318,1459.14,677.072,1089.08,677.072,1972.26,200.702,677.072,1309.33,677.072,677.072,1485.06,677.072,1106.47,1093.05,1434.49,200,590.962,200,200,200,200,677.072,1554.5,1463.63,1300.72,677.072,287.48,201.463,1294.47,897.92,200,200,1113.44,471.642,1534.28,1180.75,1459.99,615.858,200,677.072,1040.77,1962.67,677.072,692.273,1582.51,613.67,1988.04,2039.8,677.072,665.915,961.028,1180.75,1135.45,1793.48,719.068,200,852.557,201.127,200,1016.47,677.072,1306.27,1251.25,677.072,904.486,556.059,926.629,677.072,1477.09,1311.43,200,1012.21,677.072,423.519,196.107,1508.85,1068.14,1323.99,668.995,677.072,920.886,1261.99,209.378,846.103,1048.23,200,1477.56,534.765,646.103,677.072,204.778,866.298,200,677.072,216.637,615.858,716.936,923.149,231.581,200,1278.68,1565.98,877.072,200,329.054,949.589,1696.87,1424.08,245.626,1278.08,28.1526,200,108.062,279.351,1652.51,604.631,1085.69,677.072,575.384,1310.98,894.118,928.763,207.16,677.072,1008.88,1343.38,1105.15,677.072,677.072,1193.29,638.455,1011.6,1081.48,245.626,200,677.072,313.712,292.073,948.049,1098.29,586.52,209.414,513.687,480.648,1195.68,1009.59,1086.81,1473.42,1310.98,1199.08,1049.29,1056.76,300.198,1293.87,1081.65,981.561,252.988,1153.68,206.511,1095.26,242.03,416.464,1521.74,969.678,456.597,589.166,381.531,578.266,207.921,1387.04,323.816,959.866,677.072,1782.26,1562.1,521.81,200,1251.49,200,202.974,694.305,586.339,633.569,191.852,462.567,802.663,677.078,818.391,705.114,200,
615.858,677.072,1970.88,615.858,679.911,1497.83,677.072,200,1641.9,1183.55,1647.63,1382.27,677.072,1610.53,1760.33,677.072,200,928.763,677.072,1328.65,1318.66,200,200,640.029,677.072,1120.36,1144.73,1805.91,1557.73,677.072,1345.62,1430.34,1118.37,677.072,1180.75,677.072,1010.38,200,1160.84,351.6,1192.85,1370.07,677.774,677.115,1396.78,196.461,1153.49,967.77,646.103,1036.77,815.858,1543.23,955.486,803.431,1764.36,677.072,646.103,1330.57,954.558,200,1836.2,729.474,1488.17,1354.82,1320.64,200,1357.89,502.129,677.072,293.292,200,776.26,877.072,649.615,1582.21,709.081,202.973,955.486,677.072,694.735,968.893,1715.59,200,1549.42,677.072,1158.08,677.072,855.381,677.072,677.072,920.631,677.072,909.37,258.505,200,1691.67,1287.64,200,1321.27,261.799,677.072,945.739,604.63,682.268,1319.62,283.926,200,1633.36,200,677.072,928.763,414.545,692.995,1278.84,1331.74,1606.54,970.053,1583.53,904.834,673.641,450.285,685.493,677.072,200,1242.36,1110.71,133.156,394.812,110.175,1127.46,1485.06,201.353,703.518,192.532,1792.85,677.072,677.072,677.072,202.092,200,200,677.34,200,923.149,677.072,677.072,303.889,955.486,677.072,1329.97,1449.21,677.072,795.977,462.987,677.072,1309.49,1009.07,677.072,1728.37,1221.32,1440.24,212.12,1734.83,1009.07,1336.23,200,193.444,431.134,256.66,200.202,1458.83,1185.33,709.692,1258.6,659.382,200,935.733,409.261,1000.51,200,677.072,200,677.072,1666.97,1364.83,677.072,666.719,1349.55,690.948,677.072,300.188,677.774,691.997,200,302.109,684.078,200,627.21,202.973,299.59,
604.631,1893.74,2101.4,677.072,1093.18,677.072,995.797,677.072,745.794,200,791.009,955.486,200,200,1707.27,663.946,677.072,1065.77,200,1308.36,677.072,873.324,733.319,1560.11,200,1347.47,200,816.478,1551.04,677.072,955.486,677.072,1555.98,1735.09,1567.22,677.072,293.295,1458.34,677.774,677.072,1012.47,677.491,1560.38,677.072,1118.37,205.487,678.521,1050.79,200,729.474,1085.39,200,920.631,681.566,994.603,1104.26,1789.93,274.057,370.376,457.361,677.072,795.122,200,677.072,677.072,729.474,917.068,200,677.423,794.647,1584.46,200,1556.27,731.698,677.072,200,685.111,683.979,382.177,226.04,1096.99,193.5,677.072,1647.67,677.072,1702.25,1107.02,1476.55,1726.33,1529.43,1087.01,934.018,614.988,677.072,1741.37,677.072,677.072,1726.03,677.072,957.906,1190.81,677.072,1064.79,1054.27,1003.56,677.072,677.072,1299,200,200,516.825,877.239,677.072,627.44,200.056,1266.46,812.062,711.496,200,193.356,751.57,200,1577.02,621.475,537.551,1430.58,919.232,646.103,200,200,1369.84,679.615,677.072,200,915.112,1924.59,928.763,200,1314.72,677.072,200,1584.35,1040.84,677.072,1180.75,646.103,677.072,200,993.302,208.796,773.285,677.072,299.497,718.742,1640.13,677.072,927.315,1196.02,506.31,273.885,1281.62,202.973,1669,1727.69,1049.75,679.771,877.072,769.779,255.76,1073.19,1391.55,200,239.402,551.339,194.972,1013.96,1176.88,926.425,656.444,844.18,1562.02,1205.36,709.662,200,1592.89,1284.54,395.548,301.842,200,1117.64,702.893,677.072,404.207,704.412,1330.32,1138.54,677.072,299.577,692.66,1362.62,
200,677.072,1946.13,196.461,649.615,936.335,677.072,992.038,765.776,200,769.778,1055.08,677.072,979.244,1504.04,518.867,200,1671.36,1156.14,797.121,928.763,677.072,677.072,749.219,941.935,1562.16,1650.98,677.072,1452.36,200,202.973,677.072,815.858,1354.58,529.474,1459.38,1978.62,677.072,724.236,677.072,1466.18,200,201.284,258.306,677.072,1805.88,200,701,677.072,1596.86,677.072,1623.71,677.072,677.072,677.072,676.059,677.072,655.911,664.873,1811.83,1535.98,867.814,677.072,200,1160.92,200,714.931,200,200,615.858,615.858,200,701.717,422.95,1074.46,200,200.006,1110.44,1952.2,877.015,1726.81,452.263,879.521,1748.89,677.072,1127.01,1149.38,677.072,1388.47,677.072,200,203.027,677.072,1760.97,449.303,925.18,923.149,200,388.648,677.774,677.072,1233.32,677.072,200,457.767,955.486,1923.89,677.072,1253.87,342.44,1553.41,1738.71,729.474,1843.55,677.072,677.072,737.193,1140.77,845.543,714.089,423.69,545.225,304.853,1086.57,677.072,677.072,616.382,729.474,814.035,605.925,1111.76,1575.95,991.831,824.589,677.129,604.63,192.906,1220.63,405.36,1133.27,1101.38,200,1843.23,1266.43,1190.81,914.671,1573.78,1458.23,923.149,504.471,720.285,1118.37,815.858,677.072,1109.68,675.554,555.707,339.869,200,1486.91,303.889,1338.76,1072.77,224.101,1306.81,207.719,1378.61,1114.43,775.449,1129.08,640.029,444.977,677.072,944.15,216.037,974.138,1225.89,506.833,245.626,615.197,1286.1,1676.17,201.809,275.268,1244.73,202.118,822.738,715.109,1309.05,693.652,1184.75,349.088,955.975,803.29,709.054,797.323,1429.17,415.277,712.788,1033.81,
