20,20,57.0371,38.0843,98.9001,58.5234,29.7227,20,1503.94,20,20,37.2791,20,36.6103,94.7287,25.8715,82.817,276.481,57.0371,20,
20,20,20,48.5234,49.2973,20,1145.99,416.982,58.5234,43.3956,73.9699,889.042,2202.23,551.016,20,506.688,830.038,2239.26,953.123,129.277,
158.916,55.062,2595.71,1858.43,403.168,1496.77,2235.56,35.9934,57.0371,2202.23,20,197.674,21.7165,677.86,1782.57,193.69,20,295.796,226.055,10.6408,
10.6408,20,10.6408,2202.23,20,20,58.5185,8324.66,190.94,2300.95,10.6408,33.0142,855.704,134.058,20,20.2178,20,2202.23,5264.81,2185.09,
737.949,3072.39,53.584,83.5398,2202.23,20,1216.77,5647.61,2204.68,52.9556,2202.58,20,10.6408,2227.3,15.0252,544.231,20,20,692.763,20,
20,20,2202.23,2202.23,20,20,3508.6,20,2202.23,20,3253.87,2202.73,468.184,1774.73,20,20,2202.58,2266.47,708.426,4938.56,
2202.23,2202.23,2209.69,2212.23,20,2202.23,20,20,2202.23,2202.23,20.0193,43.9694,2232.15,40.1879,20,20,1226.77,664.483,20,20,
2680.31,2202.23,2202.23,2212.23,2202.23,2202.23,20,2202.23,2202.23,20,2202.23,1532.92,20,20,2202.23,56.9959,2202.23,20.6408,20,20,
20,20,5168.1,2202.23,51.0768,20,2202.23,94.0741,2202.23,3691.87,35.7073,20,3691.87,20,2202.23,20,2202.23,2202.23,57.0371,20,
6020.83,2202.23,2202.23,48.5234,2202.23,3075.53,2202.23,2202.23,2202.23,20,20,20,20,2202.23,2202.23,20,20,2202.23,20,2202.23,
