37.2791,38.0843,57.0371,57.0371,58.5234,82.817,94.7287,98.9001,276.481,1503.94,
129.277,416.982,506.688,551.016,830.038,889.042,953.123,1145.99,2202.23,2239.26,
226.055,295.796,403.168,677.86,1496.77,1782.57,1858.43,2202.23,2235.56,2595.71,
58.5185,134.058,190.94,855.704,2185.09,2202.23,2202.23,2300.95,5264.81,8324.66,
544.231,692.763,737.949,1216.77,2202.23,2202.58,2204.68,2227.3,3072.39,5647.61,
1774.73,2202.23,2202.23,2202.23,2202.58,2202.73,2266.47,3253.87,3508.6,4938.56,
664.483,1226.77,2202.23,2202.23,2202.23,2202.23,2202.23,2209.69,2212.23,2232.15,
2202.23,2202.23,2202.23,2202.23,2202.23,2202.23,2202.23,2202.23,2212.23,2680.31,
94.0741,2202.23,2202.23,2202.23,2202.23,2202.23,2202.23,3691.87,3691.87,5168.1,
2202.23,2202.23,2202.23,2202.23,2202.23,2202.23,2202.23,2202.23,3075.53,6020.83,
